sn,state,location,mean_SQ_fg,total_DNA_ng,ratio_Fvfg_DNAng,year,exp,rep,cultivar,sds_tol,product,pl_pop_ha,rdx,drw,fdx,yield_kgha,plant_date,seed_rate_ha,row_space_m,soil_pH,scn_count_rep,proj_price_kg,volatility,harv_price_kg
286,DE,GEORGETOWN_DE_1,11.2801829,20.03539903,0.56301264,2020,1,1,progeny4444rxs,r,Base,284943,NA,NA,0,2758.13,5/12/2020,345947,0.762,6.2,10700,0.34,0.12,0.39
287,DE,GEORGETOWN_DE_1,11.2801829,20.03539903,0.56301264,2020,1,1,progeny4444rxs,r,ILEVO,269885,NA,NA,0,2578.68,5/12/2020,345947,0.762,6.2,10700,0.34,0.12,0.39
288,DE,GEORGETOWN_DE_1,11.2801829,20.03539903,0.56301264,2020,1,1,progeny4444rxs,r,Saltro,280696,NA,NA,0,2321.02,5/12/2020,345947,0.762,6.2,10700,0.34,0.12,0.39
289,DE,GEORGETOWN_DE_1,58.10309658,22.01988041,2.638665401,2020,1,2,progeny4444rxs,r,Base,277221,NA,NA,0,2232.45,5/12/2020,345947,0.762,6.2,13200,0.34,0.12,0.39
290,DE,GEORGETOWN_DE_1,58.10309658,22.01988041,2.638665401,2020,1,2,progeny4444rxs,r,ILEVO,279924,NA,NA,0,2455.73,5/12/2020,345947,0.762,6.2,13200,0.34,0.12,0.39
291,DE,GEORGETOWN_DE_1,58.10309658,22.01988041,2.638665401,2020,1,2,progeny4444rxs,r,Saltro,273746,NA,NA,0,3044.25,5/12/2020,345947,0.762,6.2,13200,0.34,0.12,0.39
292,DE,GEORGETOWN_DE_1,28.2620635,22.80422459,1.239334553,2020,1,3,progeny4444rxs,r,Base,283785,NA,NA,0,2356.98,5/12/2020,345947,0.762,6.2,12700,0.34,0.12,0.39
293,DE,GEORGETOWN_DE_1,28.2620635,22.80422459,1.239334553,2020,1,3,progeny4444rxs,r,ILEVO,262935,NA,NA,0,2523,5/12/2020,345947,0.762,6.2,12700,0.34,0.12,0.39
294,DE,GEORGETOWN_DE_1,28.2620635,22.80422459,1.239334553,2020,1,3,progeny4444rxs,r,Saltro,289190,NA,NA,0,2103.26,5/12/2020,345947,0.762,6.2,12700,0.34,0.12,0.39
295,DE,GEORGETOWN_DE_1,23.66583482,24.23215811,0.976629267,2020,1,4,progeny4444rxs,r,Base,295754,NA,NA,0,1194.08,5/12/2020,345947,0.762,6.2,7100,0.34,0.12,0.39
296,DE,GEORGETOWN_DE_1,23.66583482,24.23215811,0.976629267,2020,1,4,progeny4444rxs,r,ILEVO,282626,NA,NA,0,2322.81,5/12/2020,345947,0.762,6.2,7100,0.34,0.12,0.39
297,DE,GEORGETOWN_DE_1,23.66583482,24.23215811,0.976629267,2020,1,4,progeny4444rxs,r,Saltro,296140,NA,NA,0,1412.37,5/12/2020,345947,0.762,6.2,7100,0.34,0.12,0.39
298,DE,GEORGETOWN_DE_1,103.1409038,33.93421087,3.039437227,2020,1,5,progeny4444rxs,r,Base,294209,NA,NA,0,1672.79,5/12/2020,345947,0.762,6.2,11200,0.34,0.12,0.39
299,DE,GEORGETOWN_DE_1,103.1409038,33.93421087,3.039437227,2020,1,5,progeny4444rxs,r,ILEVO,284557,NA,NA,0,1408.04,5/12/2020,345947,0.762,6.2,11200,0.34,0.12,0.39
300,DE,GEORGETOWN_DE_1,103.1409038,33.93421087,3.039437227,2020,1,5,progeny4444rxs,r,Saltro,284943,NA,NA,0,1742.49,5/12/2020,345947,0.762,6.2,11200,0.34,0.12,0.39
301,DE,GEORGETOWN_DE_1,60.78279622,25.40479149,2.392572135,2020,1,6,progeny4444rxs,r,Base,284171,NA,NA,0,2008.34,5/12/2020,345947,0.762,6.2,14800,0.34,0.12,0.39
302,DE,GEORGETOWN_DE_1,60.78279622,25.40479149,2.392572135,2020,1,6,progeny4444rxs,r,ILEVO,277221,NA,NA,0,2043.73,5/12/2020,345947,0.762,6.2,14800,0.34,0.12,0.39
303,DE,GEORGETOWN_DE_1,60.78279622,25.40479149,2.392572135,2020,1,6,progeny4444rxs,r,Saltro,291121,NA,NA,0,1881.75,5/12/2020,345947,0.762,6.2,14800,0.34,0.12,0.39
406,IA,HUXLEY_IA_4,1092.071,61.11221895,17.86992878,2020,4,1,p25a27x,r,Base,141366,16,NA,13.3,2969.68,4/27/2020,308881,0.762,6.4,1700,0.34,0.12,0.39
408,IA,HUXLEY_IA_4,1092.071,61.11221895,17.86992878,2020,4,1,p25a27x,r,ILEVO,112663,8,NA,6.7,3113.88,4/27/2020,308881,0.762,6.4,1700,0.34,0.12,0.39
410,IA,HUXLEY_IA_4,1092.071,61.11221895,17.86992878,2020,4,1,p25a27x,r,Saltro,152847,11,NA,6.7,3222.9,4/27/2020,308881,0.762,6.4,1700,0.34,0.12,0.39
407,IA,HUXLEY_IA_4,1092.071,61.11221895,17.86992878,2020,4,1,p24t76e,s,Base,175810,12,NA,5.6,3603.31,4/27/2020,308881,0.762,6.4,1700,0.34,0.12,0.39
409,IA,HUXLEY_IA_4,1092.071,61.11221895,17.86992878,2020,4,1,p24t76e,s,ILEVO,165763,4,NA,2.2,3730.35,4/27/2020,308881,0.762,6.4,1700,0.34,0.12,0.39
411,IA,HUXLEY_IA_4,1092.071,61.11221895,17.86992878,2020,4,1,p24t76e,s,Saltro,175810,7,NA,1.1,3787.81,4/27/2020,308881,0.762,6.4,1700,0.34,0.12,0.39
412,IA,HUXLEY_IA_4,671.3206344,55.86486346,12.016867,2020,4,2,p25a27x,r,Base,154999,27,NA,23.3,2935.05,4/27/2020,308881,0.762,6.4,4300,0.34,0.12,0.39
414,IA,HUXLEY_IA_4,671.3206344,55.86486346,12.016867,2020,4,2,p25a27x,r,ILEVO,172222,18,NA,6.7,2781.78,4/27/2020,308881,0.762,6.4,4300,0.34,0.12,0.39
416,IA,HUXLEY_IA_4,671.3206344,55.86486346,12.016867,2020,4,2,p25a27x,r,Saltro,157154,17,NA,11.1,2747.01,4/27/2020,308881,0.762,6.4,4300,0.34,0.12,0.39
413,IA,HUXLEY_IA_4,671.3206344,55.86486346,12.016867,2020,4,2,p24t76e,s,Base,165763,15,NA,4.4,3081.27,4/27/2020,308881,0.762,6.4,4300,0.34,0.12,0.39
415,IA,HUXLEY_IA_4,671.3206344,55.86486346,12.016867,2020,4,2,p24t76e,s,ILEVO,165763,4,NA,0.7,3251.22,4/27/2020,308881,0.762,6.4,4300,0.34,0.12,0.39
417,IA,HUXLEY_IA_4,671.3206344,55.86486346,12.016867,2020,4,2,p24t76e,s,Saltro,157154,9,NA,1.1,3367.96,4/27/2020,308881,0.762,6.4,4300,0.34,0.12,0.39
418,IA,HUXLEY_IA_4,799.7736231,57.87633527,13.81866387,2020,4,3,p25a27x,r,Base,160742,37,NA,5,2107.86,4/27/2020,308881,0.762,6.4,2000,0.34,0.12,0.39
421,IA,HUXLEY_IA_4,799.7736231,57.87633527,13.81866387,2020,4,3,p25a27x,r,ILEVO,149259,22,NA,5,2586.37,4/27/2020,308881,0.762,6.4,2000,0.34,0.12,0.39
423,IA,HUXLEY_IA_4,799.7736231,57.87633527,13.81866387,2020,4,3,p25a27x,r,Saltro,157154,27,NA,6.7,2749.54,4/27/2020,308881,0.762,6.4,2000,0.34,0.12,0.39
419,IA,HUXLEY_IA_4,799.7736231,57.87633527,13.81866387,2020,4,3,p24t76e,s,Base,173658,19,NA,3.3,3324.54,4/27/2020,308881,0.762,6.4,2000,0.34,0.12,0.39
420,IA,HUXLEY_IA_4,799.7736231,57.87633527,13.81866387,2020,4,3,p24t76e,s,ILEVO,165763,11,NA,4.4,3568.72,4/27/2020,308881,0.762,6.4,2000,0.34,0.12,0.39
422,IA,HUXLEY_IA_4,799.7736231,57.87633527,13.81866387,2020,4,3,p24t76e,s,Saltro,160023,15,NA,5,3162.62,4/27/2020,308881,0.762,6.4,2000,0.34,0.12,0.39
425,IA,HUXLEY_IA_4,683.7717877,49.25512196,13.88224738,2020,4,4,p25a27x,r,Base,185858,24,NA,11.1,2504.9,4/27/2020,308881,0.762,6.4,2200,0.34,0.12,0.39
427,IA,HUXLEY_IA_4,683.7717877,49.25512196,13.88224738,2020,4,4,p25a27x,r,ILEVO,169351,24,NA,5,2809.45,4/27/2020,308881,0.762,6.4,2200,0.34,0.12,0.39
429,IA,HUXLEY_IA_4,683.7717877,49.25512196,13.88224738,2020,4,4,p25a27x,r,Saltro,149259,16,NA,6.7,2615.84,4/27/2020,308881,0.762,6.4,2200,0.34,0.12,0.39
